"富士山吉田登山口","男性","女性","X20代","X30代","X40代","X50代","X60代","X70歳以上","居住者","勤務者","来街者","平均男性","平均女性","平均20代","平均30代","平均40代","平均50代","平均60代","平均70歳以上","平均居住者","平均勤務者","平均来街者","Date","Male_Female_Sum","Generation_Sum","Daily_Total_Visitors"
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-15,0,0,0
"期間全体",55,46,0,0,55,46,0,0,0,0,101,55,46,0,0,55,46,0,0,0,0,101,2023-07-16,101,101,101
"期間全体",43,0,0,43,0,0,0,0,0,0,43,43,0,0,43,0,0,0,0,0,0,43,2023-07-17,43,43,43
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-18,0,0,0
"期間全体",115,38,0,115,0,38,0,0,0,0,154,115,38,0,115,0,38,0,0,0,0,154,2023-07-19,153,153,153
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-20,0,0,0
"期間全体",189,59,0,77,0,79,59,33,0,38,211,189,59,0,77,0,79,59,33,0,38,211,2023-07-21,248,248,248
"期間全体",206,164,139,66,0,28,0,135,0,0,370,206,164,139,66,0,28,0,135,0,0,370,2023-07-22,370,368,370
"期間全体",190,108,0,190,0,0,0,108,0,0,299,190,108,0,190,0,0,0,108,0,0,299,2023-07-23,298,298,298
"期間全体",175,0,0,0,49,89,36,0,0,38,137,175,0,0,0,49,89,36,0,0,38,137,2023-07-24,175,174,175
"期間全体",45,43,0,0,0,0,43,45,0,0,88,45,43,0,0,0,0,43,45,0,0,88,2023-07-25,88,88,88
"期間全体",100,26,0,0,26,0,0,100,0,0,126,100,26,0,0,26,0,0,100,0,0,126,2023-07-26,126,126,126
"期間全体",432,53,0,77,141,0,142,124,0,55,430,432,53,0,77,141,0,142,124,0,55,430,2023-07-27,485,484,485
"期間全体",363,104,335,0,0,28,0,104,0,0,467,363,104,335,0,0,28,0,104,0,0,467,2023-07-28,467,467,467
"期間全体",285,104,0,126,191,39,32,0,0,0,389,285,104,0,126,191,39,32,0,0,0,389,2023-07-29,389,388,389
"期間全体",147,55,0,77,126,0,0,0,0,0,203,147,55,0,77,126,0,0,0,0,0,203,2023-07-30,202,203,203
"期間全体",219,167,0,77,0,66,36,207,0,0,387,219,167,0,77,0,66,36,207,0,0,387,2023-07-31,386,386,386
"期間全体",63,0,0,0,63,0,0,0,0,0,63,63,0,0,0,63,0,0,0,0,0,63,2024-07-01,63,63,63
"期間全体",0,82,0,82,0,0,0,0,0,82,0,0,82,0,82,0,0,0,0,0,82,0,2024-07-02,82,82,82
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-03,0,0,0
"期間全体",163,0,107,0,55,0,0,0,0,55,107,163,0,107,0,55,0,0,0,0,55,107,2024-07-04,163,162,163
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-05,0,0,0
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-06,0,0,0
"期間全体",21,0,0,0,0,21,0,0,0,0,21,21,0,0,0,0,21,0,0,0,0,21,2024-07-07,21,21,21
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-08,0,0,0
